Policy|Firstname|Lastname|Mobile|ConfirmID
000000002|test7|test7|0934457434|2,14,965037
000000007|ศักดา|อวดอ่อน|0824657441|1,7,965109
000000010|อภินันท์2|อินทอง|0963043263|1,10,965108
000000011|ศักดา|อวดอ่อน|0824657441|1,11,965103
000000012|อภินันท์3|อินทอง|0963043263|1,12,965113
000000005|หนึ่ง|แผนเดี่ยว|0645935091|2,17,965031
000000006|สอง|แผนเดี่ยว|0645935091|2,18,965033
000000007|สาม|แผนเดี่ยว|0645935091|2,19,965034
000000008|สี่|แผนเดี่ยว|0645935091|2,20,965038
000000009|ห้า|แผนเดี่ยว|0645935091|2,21,965039
000000012|แปด|แผนเดี่ยว|0645935091|2,24,965043
000000015|สิบเอ็ด|แผนคู่สมรส|0645935091|2,27,965047
000000016|สิบสอง|แผนคู่สมรส|0645935091|2,28,965049
000000017|สิบสี่|แผนคู่สมรส|0645935091|2,29,965051
000000019|สิบห้า|แผนคู่สมรส|0645935091|2,31,965053
000000020|สิบหก|แผนคู่สมรส|0645935091|2,32,965056
000000021|สิบแปด|แผนคู่สมรส|0645935091|2,33,965058
